MouseID,Age,litter,Strain,Gender,Diet,Wt,Glucose
25,4,1,NODk,M,RegD,21.68,7.3
25,6,1,NODk,M,RegD,27.3,7.8
25,8,1,NODk,M,RegD,29.51,7.1
25,10,1,NODk,M,RegD,31.28,5.1
25,12,1,NODk,M,RegD,33.4,6.7
25,13,1,NODk,M,RegD,34.4,6.2
25,14,1,NODk,M,RegD,34.5,6.8
26,4,1,NODk,M,HFD,22.08,8.5
26,6,1,NODk,M,HFD,34.1,7.5
26,8,1,NODk,M,HFD,36.09,7.75
26,10,1,NODk,M,HFD,40.28,5.6
26,12,1,NODk,M,HFD,43.5,8.7
26,13,1,NODk,M,HFD,46.3,11.1
26,14,1,NODk,M,HFD,45.6,8.3
41,4,1,NODk,M,RegD,24,7.95
41,6,1,NODk,M,RegD,25.75,5.4
41,8,1,NODk,M,RegD,28.71,6.6
41,10,1,NODk,M,RegD,30.09,5.8
41,12,1,NODk,M,RegD,33.57,6.7
41,13,1,NODk,M,RegD,34.67,7.5
41,14,1,NODk,M,RegD,33.8,6.3
50,4,1,NODk,M,HFD,25,8.5
50,6,1,NODk,M,HFD,26.9,5.6
50,8,1,NODk,M,HFD,29.88,6.5
50,10,1,NODk,M,HFD,30.69,5.6
50,12,1,NODk,M,HFD,32.84,6.9
50,13,1,NODk,M,HFD,34.91,6.3
50,14,1,NODk,M,HFD,35.1,6.4
42,4,2,NODk,M,HFD,26,8.3
42,6,2,NODk,M,HFD,34.12,7.5
42,8,2,NODk,M,HFD,39.98,9.2
42,10,2,NODk,M,HFD,42.59,9.7
42,12,2,NODk,M,HFD,43.45,10.2
42,13,2,NODk,M,HFD,46.42,19.4
42,14,2,NODk,M,HFD,46.2,26.3
43,4,2,NODk,M,HFD,25,7
43,6,2,NODk,M,HFD,30.04,7.5
43,8,2,NODk,M,HFD,34.77,7.2
43,10,2,NODk,M,HFD,35.89,7.2
43,12,2,NODk,M,HFD,43.37,9.9
43,13,2,NODk,M,HFD,43.13,9.1
43,14,2,NODk,M,HFD,42.8,9.5
44,4,2,NODk,M,HFD,26,7.6
44,6,2,NODk,M,HFD,30.49,6.2
44,8,2,NODk,M,HFD,34.62,7.3
44,10,2,NODk,M,HFD,36.72,7.2
44,12,2,NODk,M,HFD,42.46,9.3
44,13,2,NODk,M,HFD,43.41,8
44,14,2,NODk,M,HFD,41.5,12.3
45,4,3,NODk,M,HFD,24,6.9
45,6,3,NODk,M,HFD,30.74,6.2
45,8,3,NODk,M,HFD,35.05,7.2
45,10,3,NODk,M,HFD,36.89,5.4
45,12,3,NODk,M,HFD,47.5,16.9
45,13,3,NODk,M,HFD,43.67,12.9
45,14,3,NODk,M,HFD,43.1,8.85
92,4,3,NODk,M,RegD,25.84,7
92,6,3,NODk,M,RegD,27.87,7.2
92,8,3,NODk,M,RegD,31.94,7.4
92,10,3,NODk,M,RegD,35.12,7
92,12,3,NODk,M,RegD,,
92,13,3,NODk,M,RegD,,
92,14,3,NODk,M,RegD,38.8,7.85
93,4,3,NODk,M,RegD,25.54,7.4
93,6,3,NODk,M,RegD,28.97,6.2
93,8,3,NODk,M,RegD,31.02,6.4
93,10,3,NODk,M,RegD,33.24,7.3
93,12,3,NODk,M,RegD,,
93,13,3,NODk,M,RegD,,
93,14,3,NODk,M,RegD,37.8,8.8
95,4,3,NODk,M,RegD,26.88,9
95,6,3,NODk,M,RegD,31.72,7
95,8,3,NODk,M,RegD,37.88,5.8
95,10,3,NODk,M,RegD,36.22,7.7
95,12,3,NODk,M,RegD,,
95,13,3,NODk,M,RegD,,
95,14,3,NODk,M,RegD,40.8,7.4
96,4,4,NODk,M,RegD,27.55,7.3
96,6,4,NODk,M,RegD,29.67,6.5
96,8,4,NODk,M,RegD,30.95,7.2
96,10,4,NODk,M,RegD,34.85,5.9
96,12,4,NODk,M,RegD,,
96,13,4,NODk,M,RegD,,
96,14,4,NODk,M,RegD,39.5,7.85
88,4,4,NODk,M,HFD,25.66,7.6
88,6,4,NODk,M,HFD,31.76,6.8
88,8,4,NODk,M,HFD,39.46,8.5
88,10,4,NODk,M,HFD,42.53,13.7
88,12,4,NODk,M,HFD,,
88,13,4,NODk,M,HFD,,
88,14,4,NODk,M,HFD,46.2,30.4
89,4,4,NODk,M,HFD,23.89,8.4
89,6,4,NODk,M,HFD,31.7,7.2
89,8,4,NODk,M,HFD,37.2,7.5
89,10,4,NODk,M,HFD,42.59,11.6
89,12,4,NODk,M,HFD,,
89,13,4,NODk,M,HFD,,
89,14,4,NODk,M,HFD,39.8,12.8
90,4,4,NODk,M,HFD,24.56,8.5
90,6,4,NODk,M,HFD,31.24,7.7
90,8,4,NODk,M,HFD,39.07,8.1
90,10,4,NODk,M,HFD,43.43,15.6
90,12,4,NODk,M,HFD,,
90,13,4,NODk,M,HFD,,
90,14,4,NODk,M,HFD,46.2,25.85
91,4,4,NODk,M,HFD,23.49,8.4
91,6,4,NODk,M,HFD,30.66,6.2
91,8,4,NODk,M,HFD,36.17,8.8
91,10,4,NODk,M,HFD,40.37,7
91,12,4,NODk,M,HFD,,
91,13,4,NODk,M,HFD,,
91,14,4,NODk,M,HFD,44.8,11.25
10,4,1,B10.Br,M,RegD,15.85,8.25
10,6,1,B10.Br,M,RegD,21.54,6.3
10,8,1,B10.Br,M,RegD,25.57,7.65
10,10,1,B10.Br,M,RegD,24.83,7.8
10,12,1,B10.Br,M,RegD,25.75,7.2
10,13,1,B10.Br,M,RegD,26.2,6.6
10,14,1,B10.Br,M,RegD,25.84,7.4
11,4,1,B10.Br,M,RegD,17.34,7.8
11,6,1,B10.Br,M,RegD,20,8.15
11,8,1,B10.Br,M,RegD,23.65,7
11,10,1,B10.Br,M,RegD,26.02,7.5
11,12,1,B10.Br,M,RegD,27.04,6.2
11,13,1,B10.Br,M,RegD,27.66,5.4
11,14,1,B10.Br,M,RegD,27.01,5.7
12,4,1,B10.Br,M,RegD,15.92,7.4
12,6,1,B10.Br,M,RegD,23.24,8.7
12,8,1,B10.Br,M,RegD,23.49,6.5
12,10,1,B10.Br,M,RegD,25.52,7.5
12,12,1,B10.Br,M,RegD,25.83,6.8
12,13,1,B10.Br,M,RegD,26.64,6.5
12,14,1,B10.Br,M,RegD,26.63,8
13,4,1,B10.Br,M,RegD,13.45,8.7
13,6,1,B10.Br,M,RegD,22.02,6.4
13,8,1,B10.Br,M,RegD,24.24,7.5
13,10,1,B10.Br,M,RegD,24.74,7.5
13,12,1,B10.Br,M,RegD,25.87,6.8
13,13,1,B10.Br,M,RegD,26.58,6.4
13,14,1,B10.Br,M,RegD,27.29,7.5
14,4,2,B10.Br,M,RegD,15.82,8.06
14,6,2,B10.Br,M,RegD,20.32,7.35
14,8,2,B10.Br,M,RegD,24.3,7.1
14,10,2,B10.Br,M,RegD,25.52,8.55
14,12,2,B10.Br,M,RegD,24.92,7.5
14,13,2,B10.Br,M,RegD,24.43,5.8
14,14,2,B10.Br,M,RegD,26.16,8.4
15,4,2,B10.Br,M,RegD,16.35,8.5
15,6,2,B10.Br,M,RegD,19.43,6.5
15,8,2,B10.Br,M,RegD,23.32,6.9
15,10,2,B10.Br,M,RegD,24.26,6.8
15,12,2,B10.Br,M,RegD,25.96,7.3
15,13,2,B10.Br,M,RegD,26.33,7.6
15,14,2,B10.Br,M,RegD,26.05,7.1
16,4,2,B10.Br,M,RegD,14.2,8.1
16,6,2,B10.Br,M,RegD,21.34,6.5
16,8,2,B10.Br,M,RegD,21.93,8.5
16,10,2,B10.Br,M,RegD,23.17,8.1
16,12,2,B10.Br,M,RegD,26.15,6.9
16,13,2,B10.Br,M,RegD,26.79,6.1
16,14,2,B10.Br,M,RegD,26.34,7.2
17,4,2,B10.Br,M,RegD,15.35,8.5
17,6,2,B10.Br,M,RegD,19.24,7.3
17,8,2,B10.Br,M,RegD,22.16,9.2
17,10,2,B10.Br,M,RegD,24.69,7.15
17,12,2,B10.Br,M,RegD,24.07,7.2
17,13,2,B10.Br,M,RegD,25.58,6.1
17,14,2,B10.Br,M,RegD,24.78,7.2
22,4,3,B10.Br,M,HFD,15.29,8.1
22,6,3,B10.Br,M,HFD,21.63,8.2
22,8,3,B10.Br,M,HFD,24.79,9.3
22,10,3,B10.Br,M,HFD,28.07,8.23
22,12,3,B10.Br,M,HFD,30.86,7.9
22,13,3,B10.Br,M,HFD,32.15,8.5
22,14,3,B10.Br,M,HFD,32.33,10
23,4,3,B10.Br,M,HFD,17.29,9.6
23,6,3,B10.Br,M,HFD,23.32,11.2
23,8,3,B10.Br,M,HFD,25.06,9.2
23,10,3,B10.Br,M,HFD,29.14,8.26
23,12,3,B10.Br,M,HFD,31.45,8.3
23,13,3,B10.Br,M,HFD,32.61,7.1
23,14,3,B10.Br,M,HFD,32.33,7.3
24,4,3,B10.Br,M,HFD,16.69,9.03
24,6,3,B10.Br,M,HFD,22.15,8.4
24,8,3,B10.Br,M,HFD,24.67,8
24,10,3,B10.Br,M,HFD,26.44,9.1
24,12,3,B10.Br,M,HFD,28.26,8.6
24,13,3,B10.Br,M,HFD,29.2,9.3
24,14,3,B10.Br,M,HFD,28.8,8
25,4,3,B10.Br,M,HFD,16.32,9.5
25,6,3,B10.Br,M,HFD,21.56,11.2
25,8,3,B10.Br,M,HFD,24.79,8.35
25,10,3,B10.Br,M,HFD,27.69,10
25,12,3,B10.Br,M,HFD,30.92,8.1
25,13,3,B10.Br,M,HFD,32.45,7.2
25,14,3,B10.Br,M,HFD,31.79,7.4
26,4,4,B10.Br,M,HFD,17.84,9.03
26,6,4,B10.Br,M,HFD,23.08,9.5
26,8,4,B10.Br,M,HFD,28.15,8.7
26,10,4,B10.Br,M,HFD,29.75,11.2
26,12,4,B10.Br,M,HFD,31.88,9.2
26,13,4,B10.Br,M,HFD,32.93,7.9
26,14,4,B10.Br,M,HFD,32.6,9.6
27,4,4,B10.Br,M,HFD,16.97,8.9
27,6,4,B10.Br,M,HFD,22.06,10.1
27,8,4,B10.Br,M,HFD,27.59,7.35
27,10,4,B10.Br,M,HFD,29.54,10.2
27,12,4,B10.Br,M,HFD,29.24,6.9
27,13,4,B10.Br,M,HFD,30.44,9
27,14,4,B10.Br,M,HFD,31.05,7.7
28,4,4,B10.Br,M,HFD,16.86,8.2
28,6,4,B10.Br,M,HFD,23.42,12.5
28,8,4,B10.Br,M,HFD,25.24,8.3
28,10,4,B10.Br,M,HFD,31.17,10.9
28,12,4,B10.Br,M,HFD,31.18,8.4
28,13,4,B10.Br,M,HFD,32.25,9.1
28,14,4,B10.Br,M,HFD,32.62,10
31,4,4,B10.Br,M,HFD,16.9,9.06
31,6,4,B10.Br,M,HFD,22.54,8.5
31,8,4,B10.Br,M,HFD,26.23,10
31,10,4,B10.Br,M,HFD,30.45,8.5
31,12,4,B10.Br,M,HFD,31.44,7.7
31,13,4,B10.Br,M,HFD,32.58,8.8
31,14,4,B10.Br,M,HFD,32.15,6.9
53,4,4,B10.Br,M,HFD,13.79,8.5
53,6,4,B10.Br,M,HFD,21.77,9.2
53,8,4,B10.Br,M,HFD,25.41,8.2
53,10,4,B10.Br,M,HFD,,
53,12,4,B10.Br,M,HFD,31.53,8.4
53,13,4,B10.Br,M,HFD,19.72,9.4
53,14,4,B10.Br,M,HFD,29,7.6
54,4,4,B10.Br,M,HFD,12.26,8.7
54,6,4,B10.Br,M,HFD,21.21,8.1
54,8,4,B10.Br,M,HFD,23.9,7.8
54,10,4,B10.Br,M,HFD,,
54,12,4,B10.Br,M,HFD,28.85,6.1
54,13,4,B10.Br,M,HFD,22.82,9.95
54,14,4,B10.Br,M,HFD,28.2,7.7
59,4,4,B10.Br,M,RegD,15.6,8.4
59,6,4,B10.Br,M,RegD,20.46,7.8
59,8,4,B10.Br,M,RegD,22.38,7.9
59,10,4,B10.Br,M,RegD,,
59,12,4,B10.Br,M,RegD,23.2,6.4
59,13,4,B10.Br,M,RegD,25.76,8.15
59,14,4,B10.Br,M,RegD,24.9,18.7
60,4,4,B10.Br,M,RegD,13.8,9.1
60,6,4,B10.Br,M,RegD,19.65,6.9
60,8,4,B10.Br,M,RegD,21.35,7.8
60,10,4,B10.Br,M,RegD,,
60,12,4,B10.Br,M,RegD,23.08,5.2
60,13,4,B10.Br,M,RegD,25.32,7.8
60,14,4,B10.Br,M,RegD,24.9,12.3
64,4,4,B10.Br,M,RegD,8.89,9.5
64,6,4,B10.Br,M,RegD,16.55,8.4
64,8,4,B10.Br,M,RegD,20.35,7.3
64,10,4,B10.Br,M,RegD,,
64,12,4,B10.Br,M,RegD,23.82,7.5
64,13,4,B10.Br,M,RegD,27.19,7.75
64,14,4,B10.Br,M,RegD,26.1,6.5
